name,total_run,run_90,generation_90,role,offtheball,workrate,fmrole
Alexander Bernhardsson,7.859895866540889,0.8886816934531155,0.5631472723721132,Forward,13,12,AM
Rasmus Alm,13.983463558443823,0.886900437110602,0.4639048491514617,Forward,13,12,AM
Alexander Jeremejeff,22.00093270280386,0.8843608500457112,0.5411043203021966,Forward,12,11,S
Carl Björk,16.892784860523204,0.872260836171594,0.4085690857007955,Forward,13,13,S
Noah Shamoun,6.4466251982429,0.8633873033361026,0.4869866937777171,Forward,11,9,AM
Sargon Abraham ,6.622671811337605,0.8336230252033349,0.4381672066524978,Forward,10,11,S
Nabil Bahoui,16.287458713639936,0.8333549086001103,0.4793082117526739,Forward,10,10,AM
Gustaf Norlin,8.85432406477574,0.827506921941658,0.3771601083929867,Forward,13,14,AM
Victor Edvardsen,21.38505560676732,0.8253237584086873,0.3723798929377472,Forward,14,11,S
Jacob Bergström,20.00965044383124,0.7908952744597328,0.4107978080898047,Forward,13,15,S
Yukiya Sugita,9.237890579472952,0.7792035165441105,0.567094559905132,Forward,12,11,AM
Kolbeinn  Sigthórsson,10.921659240424075,0.7555336907287985,0.4391811882654031,Forward,12,13,S
Nicolás Marcelo Stefanelli,18.173610740284808,0.7472019034379317,0.5020033689990213,Forward,13,12,S
Jo Inge Berget,16.693692614958607,0.7419418939981602,0.3436770441928526,Forward,13,15,AM
Saku Ylätupa,6.040069782860819,0.7365938759586363,0.3290591212185706,Forward,12,11,AM
Abdelrahman Saidi,13.672325163556316,0.7276814102425005,0.4665393867349487,Forward,12,12,AM
Marcus Berg,12.59856030634234,0.7122301680721173,0.4125288148772182,Forward,15,11,S
Bénie Adama Traoré,10.38029609675124,0.709898669230708,0.4115554968367018,Forward,12,10,AM
Filip Sachpekidis,7.461465523817186,0.709114991703851,0.4646061582068942,Forward,12,11,AM
Simon Karlsson Adjei,8.049125069708948,0.701958581660664,0.419844143289574,Forward,10,12,S
Mikael Boman,8.59611538550669,0.6988711695533895,0.4517576686070993,Forward,12,14,S
Leo Bengtsson,16.428485051215493,0.6951404111938855,0.3436877068726434,Forward,12,12,AM
Erik Ring,6.132838853274833,0.6789120501780257,0.2128405753378069,Forward,11,11,AM
Haris Radetinac,13.469858080490658,0.6734929040245329,0.3642959104743324,Forward,13,14,AM
Ryan Moon,10.071588082628567,0.6655234415833856,0.3682590807314904,Forward,12,14,S
Hosam Aiesh,10.722553375478142,0.6614323535250396,0.2106574758978351,Forward,10,10,AM
Ferhad Ayaz,4.933647897942643,0.6597746074514678,0.1662532495181959,Forward,12,11,AM
Jake Larsson,6.143139440469231,0.6550741109505104,0.1929964575679939,Forward,12,11,AM
Zak Elbouzedi,11.027981952122298,0.6257997324659564,0.1733107588244036,Forward,12,10,AM
Amin Sarr,10.306636712076031,0.5999982562010626,0.2824067722835767,Forward,13,11,S
Tobias Sana,16.293526152379915,0.5844628751351902,0.2680853831122062,Forward,13,8,AM
Nahir Besara,9.147792881312087,0.5777553398723424,0.261690621351275,Forward,13,10,AM
Tobias Heintz,7.704229177063389,0.5614418023770891,0.378288283120878,Forward,12,10,AM
Tashreeq Matthews,11.81014167100748,0.5579594490239753,0.2167843603357388,Forward,12,12,AM
Mamudo Moro,4.934207208776976,0.546894887672325,0.3854299856418208,Forward,13,12,S
Francis Jno-Baptiste,3.818185460962376,0.5454550658517681,0.3233128506844687,Forward,13,11,S
Sebastian Karlsson Grach,4.657067481980178,0.5278791856148816,0.2818414859046531,Forward,10,11,S
Malcolm Stolt,5.031601859252628,0.4890325781131064,0.3318136412911557,Forward,10,8,S
Niklas Bärkroth,16.098306400233934,1.008244659722376,0.5740686495982751,Midfielder,11,13,AM
Emmanuel Justine Rabby Banda,7.278373319461957,0.9562826259147098,0.5140567270668683,Midfielder,13,13,AM
Oliver Berg,27.461503837844703,0.9505905174638551,0.4911297903130428,Midfielder,14,14,AM
Veljko Birmančević,20.661204627580112,0.9482449854575268,0.4601041784082984,Midfielder,11,13,AM
Søren  Krukow Rieks,10.814243349978666,0.8744671172489488,0.3813818327582507,Midfielder,13,14,AM
Erik Lindell,12.020080687580055,0.7913732713110497,0.0898333800371708,Midfielder,11,14,M
Vladimir Rodić,9.269878943791442,0.790046500891316,0.133829943787783,Midfielder,12,12,M
Jiloan Hamad,10.378272472025174,0.7770753098854123,0.4529151957543717,Midfielder,11,10,AM
Williot Swedberg,6.477551645964927,0.7711371007101104,0.431721066378851,Midfielder,13,11,M
Jonathan Ring,19.82550859747271,0.7690930059364413,0.4651762323877125,Midfielder,14,13,AM
Adam Ståhl,13.254602869156116,0.752152747934458,0.151154958002386,Midfielder,12,10,M
Simon Olsson,10.828134678674624,0.7394022162979637,0.4602346150708056,Midfielder,11,12,M
Laorent Shabani,14.93767355933782,0.7354434465757133,0.2277970861525754,Midfielder,11,10,AM
Anders Bleg Christiansen,11.88065920915895,0.7195554029773252,0.439279593073761,Midfielder,13,14,M
Kevin Yakob,7.02879803530812,0.7052305721044936,0.4847425041475881,Midfielder,12,10,AM
Nahom Girmai Netabay,12.827844684303615,0.7031096355586636,0.3954323321972766,Midfielder,11,14,AM
